Name;Team;City;Position;Nationality;Agency;Transfer cost;Participations;Goals;Assists;Yellow cards;Red cards
Henry Paucek;New Mexico ogres;Georgia;GOALKEEPER;Mozambique;;59052738;21;15;22;1;0
Dr. Alec Herzog;Hawaii oxen;Oklahoma;GOALKEEPER;Palau;Jakubowski and Sons;3184115;6;9;12;6;5
Ronda McCullough DDS;Florida tigers;Washington;FORWARD;Germany;Bahringer-Larson;79147097;29;0;5;0;5
Darius Waters IV;Minnesota giants;Washington;GOALKEEPER;Croatia;Bogisich-Rempel;1850405;8;2;18;4;0
Jennell Bogan;Massachusetts enchanters;Connecticut;FORWARD;Brazil;Jakubowski and Sons;62698825;12;23;18;0;5
Julian Bechtelar;Hawaii oxen;Oklahoma;MIDFIELD;Croatia;Price-Hirthe;47556102;14;17;3;0;9
Miss Agnus Senger;Minnesota giants;Washington;GOALKEEPER;Ecuador;Graham-Powlowski;81507717;13;2;29;9;8
Mrs. Joette Carter;Hawaii oxen;Oklahoma;GOALKEEPER;Germany;Bahringer-Larson;75967270;18;26;15;6;3
Randall Hilpert;North Carolina dolphins;Tennessee;DEFENDER;Ghana;Bahringer-Larson;54202579;21;2;13;8;0
Connie Hegmann;North Carolina dolphins;Tennessee;DEFENDER;Ecuador;Bogisich-Rempel;97729347;2;8;28;4;5
Leda Orn III;Nevada whales;South Carolina;MIDFIELD;Ghana;;53608367;19;5;18;2;0
Thomas Howell DVM;Mississippi witches;Virginia;FORWARD;Colombia;;32821305;2;27;26;2;7
Sherril Jacobs DDS;Massachusetts enchanters;Connecticut;MIDFIELD;Germany;Hauck Inc;39373848;20;16;21;2;1
Antonina Reinger DVM;Hawaii oxen;Oklahoma;FORWARD;Ghana;Walker and Sons;99974008;4;27;18;8;4
Lourdes Schoen;Minnesota giants;Washington;DEFENDER;Croatia;Graham-Powlowski;87664016;13;29;13;5;2
Lilli Pagac;North Carolina dolphins;Tennessee;FORWARD;Qatar;Jakubowski and Sons;44568969;8;16;29;3;5
Mitsuko Fadel;Wisconsin prophets;Vermont;FORWARD;Qatar;Price-Hirthe;47975979;4;16;0;0;6
